X,Y,OBJECTID,Latitude,Longitude,ID,City,ZIP,L1_evse,L2_evse,DCFC,Charger_Type
159607.845800001,-440215.6397,1,34.040539,-118.271387,1523,Los Angeles,90015,0,7,0,Level 2 only
258217.091899998,-564405.2785,2,32.89947,-117.243,6355,La Jolla,92037,0,1,0,Level 2 only
141096.956099998,-420437.1924,3,34.221665,-118.468371,6405,Sepulveda,91343,0,2,0,Level 2 only
234985.635000002,-453010.4592,4,33.909914,-117.459053,6425,Riverside,92503,0,4,0,Level 2 only
170848.973000001,-428122.2716,5,34.14762,-118.147111,6505,Pasadena,91103,0,16,0,Level 2 only
170343.2117,-428407.5481,6,34.145138,-118.152655,6506,Pasadena,91105,0,2,0,Level 2 only
170575.774700001,-428405.1212,7,34.145119,-118.150133,6507,Pasadena,91105,0,3,0,Level 2 only
167522.452199999,-470777.5844,8,33.7637,-118.192,7172,Long Beach,90802,0,1,0,Level 2 only
147607.074900001,-451219.2024,9,33.94325,-118.403342,7184,Los Angeles,90045,0,20,0,Level 2 only
133117.293200001,-418670.4422,10,34.238716,-118.554686,7192,Northridge,91324,0,5,0,Level 2 only
223807.7588,-435404.8819,11,34.07122,-117.575,7194,Ontario,91764,0,1,0,Level 2 only
76378.1228,-420505.1332,12,34.228315,-119.170865,7195,Oxnard,93030,0,1,0,Level 2 only
319961.657000002,-459854.4379,13,33.824004,-116.543589,7196,Palm Springs,92262,0,2,0,Level 2 only
241960.532200001,-440727.588,14,34.0189,-117.38,7206,Riverside,92509,0,3,0,Level 2 only
-138049.3309,76044.5735999998,15,38.69005,-121.58889,7212,Sacramento,95837,0,4,0,Level 2 only
143433.565699998,-443098.0743,16,34.017081,-118.44704,7229,Santa Monica,90405,0,2,0,Level 2 only
138940.0973,-443953.753,17,34.010021,-118.49583,7230,Santa Monica,90405,0,3,0,Level 2 only
143924.8389,-427632.083,18,34.156407,-118.438965,7233,Sherman Oaks,91423,0,2,0,Level 2 only
151393.480300002,-429634.8345,19,34.13722,-118.35835,7242,Universal City,91608,1,10,0,Level 2 only
170663.852299999,-450322.3914,20,33.94756,-118.153806,7250,Downey,90241,0,4,0,Level 2 only
-212332.939099999,-20660.4243999999,21,37.80619,-122.4152,7280,San Francisco,94133,0,1,0,Level 2 only
-124139.747299999,65778.2700999994,22,38.599693,-121.427045,7286,Sacramento,95815,0,4,0,Level 2 only
-211133.727399999,-22623.5930000003,23,37.78881,-122.401,21358,San Francisco,94105,0,2,0,Level 2 only
-212027.771199999,-22269.4034000002,24,37.791791,-122.411265,21360,San Francisco,94108,0,1,0,Level 2 only
135936.0187,-417490.3996,25,34.248959,-118.523887,21395,Northridge,91330,0,2,0,Level 2 only
135519.805300001,-418303.8081,26,34.241687,-118.528543,21396,Northridge,91330,0,2,0,Level 2 only
135155.598499998,-418845.8547,27,34.236853,-118.532588,21397,Northridge,91330,0,4,0,Level 2 only
159237.897999998,-473476.1616,28,33.740758,-118.28192,21402,San Pedro,90731,0,4,0,Level 2 only
140781.725900002,-436428.3155,29,34.077588,-118.474585,21419,Los Angeles,90049,12,15,0,Level 2 only
179756.2267,-428175.7656,30,34.145528,-118.050548,21450,Arcadia,91007,0,3,0,Level 2 only
196979.574000001,-428910.7161,31,34.13556,-117.864,21498,Glendora,91741,0,3,0,Level 2 only
148156.480900001,-446844.6927,32,33.9826,-118.3966,21524,Culver City,90230,0,2,0,Level 2 only
149117.3928,-441573.0855,33,34.029971,-118.385231,21525,Los Angeles,90034,0,6,0,Level 2 only
197267.219099998,-468678.6509,34,33.777054,-117.870566,21535,Santa Ana,92705,0,8,0,Level 2 only
87962.1986000016,-427246.1844,35,34.16657602,-119.0458547,21559,Camarillo,93012,0,5,0,Level 2 only
194317.8704,-452898.5322,36,33.919899,-117.898618,21561,Brea,92821,0,4,0,Level 2 only
98168.4690000005,-424296.941,37,34.192178,-118.934793,21565,Newbury Park,91320,4,2,0,Level 2 only
60945.5795000009,-399542.6682,38,34.418322,-119.3368,21566,Oak View,93022,0,1,0,Level 2 only
202109.142700002,-432154.2468,39,34.105275,-117.809208,21569,San Dimas,91773,0,2,0,Level 2 only
171815.897599999,-428093.443,40,34.147709,-118.136621,21594,Pasadena,91101,0,4,0,Level 2 only
72516.1759000011,-416206.6739,41,34.267352,-119.2124,21606,Ventura,93009,0,3,0,Level 2 only
72238.680399999,-416053.1897,42,34.268756,-119.2154,21607,Ventura,93003,0,3,0,Level 2 only
69127.4706999995,-416162.2673,43,34.268,-119.2492,21608,Ventura,93003,0,2,0,Level 2 only
-150823.3826,59512.7993000001,44,38.539336,-121.732405,21673,Davis,95616,1,3,0,Level 2 only
-109811.258099999,72603.7818,45,38.66292,-121.2634,25491,Fair Oaks,95628,0,2,0,Level 2 only
-127740.015099999,62840.1806000005,46,38.57277,-121.467902,25494,Sacramento,95816,1,2,0,Level 2 only
-118575.493900001,77314.2186999992,47,38.7042,-121.365,25497,Antelope,95843,0,1,0,Level 2 only
-126103.588399999,60559.6636999995,48,38.552483,-121.4487,25501,Sacramento,95817,0,2,0,Level 2 only
-131593.3134,57523.6307999995,49,38.524403,-121.5112,25502,Sacramento,95822,0,2,0,Level 2 only
-68567.3282000013,79972.9639999997,50,38.73323,-120.78962,25507,Placerville,95667,0,2,0,Level 2 only
-171300.8769,39531.2032999992,51,38.356027,-121.9628,25511,Vacaville,95687,0,1,0,Level 2 only
-171645.369000001,40599.3989000004,52,38.36557,-121.967,25514,Vacaville,95688,0,4,0,Level 2 only
-173422.6412,39096.5240000002,53,38.35172,-121.987,25515,Vacaville,95688,0,2,0,Level 2 only
-174709.513,39700.3291999996,54,38.356907,-122.001886,25516,Vacaville,95688,0,2,0,Level 2 only
-173343.1712,39555.9527000003,55,38.355867,-121.9862,25517,Vacaville,95688,0,1,0,Level 2 only
-174074.8683,39114.4463,56,38.351758,-121.994475,25518,Vacaville,95688,0,7,0,Level 2 only
-112754.9454,74831.8455999997,57,38.682605,-121.297614,25519,Citrus Heights,95621,0,4,0,Level 2 only
-71905.1468999982,79418.9701000005,58,38.72799,-120.828,25522,Placerville,95667,0,3,0,Level 2 only
-92760.4862000011,70691.1740000006,59,38.6476,-121.067,25523,El Dorado Hills,95762,0,2,0,Level 2 only
-101581.588599999,81570.2690999992,60,38.74453,-121.17,25527,Granite Bay,95746,0,1,0,Level 2 only
-116046.7423,67702.9190999996,61,38.618066,-121.334337,25610,Carmichael,95608,0,1,0,Level 2 only
-147893.792099999,16712.3900000006,62,38.15485,-121.69,27302,Rio Vista,94571,0,1,0,Level 2 only
-178653.8353,28210.0622000005,63,38.25281,-122.044229,27328,Fairfield,94533,0,2,0,Level 2 only
-185575.6602,26629.8456999995,64,38.23723,-122.123,27329,Fairfield,94534,0,3,0,Level 2 only
147934.712299999,-451046.0609,65,33.944761,-118.399767,28007,Los Angeles,90045,0,20,0,Level 2 only
-277050.764799999,130699.4001,66,39.15,-123.2091,33544,Ukiah,95482,0,1,0,Level 2 only
-171131.2941,40942.8769000005,67,38.368755,-121.961192,33545,Vacaville,95688,1,1,0,Level 2 only
-151365.612400001,60311.4221999999,68,38.54643,-121.7388,33555,Davis,95616,0,2,0,Level 2 only
-151300.318399999,60073.4159999993,69,38.5443,-121.738,33556,Davis,95616,0,2,0,Level 2 only
-152319.389,60118.6227000002,70,38.544538,-121.749713,33557,Davis,95616,3,7,0,Level 2 only
-147504.9213,61477.7978000008,71,38.55755,-121.6947,33558,Davis,95618,0,1,0,Level 2 only
-149802.337099999,62837.9703000002,72,38.569412,-121.721373,33559,Davis,95618,0,2,0,Level 2 only
172259.522999998,-461348.7747,73,33.84788,-118.13889,33564,Lakewood,90712,0,2,0,Level 2 only
-220222.013900001,-5024.7603999991,74,37.94495,-122.5096,33690,Larkspur,94939,0,1,0,Level 2 only
-194421.5451,-31393.2656999994,75,37.7136,-122.2087,33695,Oakland,94621,0,4,0,Level 2 only
-180724.669299999,27742.3882999998,76,38.2482,-122.0678,35146,Fairfield,94533,0,2,0,Level 2 only
-62705.3137000017,-307207.9291,77,35.249929,-120.689683,35560,San Luis Obispo,93405,0,2,0,Level 2 only
-61453.4353,-306118.4898,78,35.25982,-120.676,35561,San Luis Obispo,93401,0,4,0,Level 2 only
139321.707800001,-442854.5043,79,34.019875,-118.49151,38379,Santa Monica,90401,0,3,0,Level 2 only
-212708.1153,-20583.2449999992,80,37.806798,-122.419488,38518,San Francisco,94109,0,5,0,Level 2 only
139496.1406,-443888.6673,81,34.010528,-118.4898,38521,Santa Monica,90401,0,12,2,Level 2 and DC Fast Chargers
-276151.4662,130201.950200001,82,39.1458,-123.198497,39314,Ukiah,95482,0,1,0,Level 2 only
-160638.5185,599.232599999756,83,38.007799,-121.832042,39870,Antioch,94509,0,1,1,Level 2 and DC Fast Chargers
87640.7199000008,-300238.6298,84,35.310723,-119.035324,39871,Bakersfield,93313,0,3,1,Level 2 and DC Fast Chargers
185514.397399999,-459124.288,85,33.865497,-117.995215,39872,Buena Park,90621,0,3,1,Level 2 and DC Fast Chargers
162425.387899999,-464076.4206,86,33.82498,-118.24566,39873,Carson,90745,0,2,1,Level 2 and DC Fast Chargers
326842.6763,-464024.6566,87,33.78414,-116.471,39874,Cathedral City,92234,0,1,1,Level 2 and DC Fast Chargers
175784.631700002,-459763.1595,88,33.861544,-118.100471,39875,Cerritos,90703,0,1,1,Level 2 and DC Fast Chargers
-157882.4307,194967.888900001,89,39.75674,-121.84372,39876,Chico,95926,0,3,1,Level 2 and DC Fast Chargers
191392.987100001,-444340.1146,90,33.997621,-117.928216,39877,City of Industry,91748,0,2,1,Level 2 and DC Fast Chargers
25189.5212999992,-131071.965299999,91,36.83692,-119.71718,39878,Clovis,93612,0,1,0,Level 2 only
-179824.5735,-2077.52300000004,92,37.980192,-122.050128,39880,Concord,94520,0,1,0,Level 2 only
220581.372499999,-456349.639,93,33.88319,-117.61565,39881,Corona,92882,0,2,1,Level 2 and DC Fast Chargers
193057.842399999,-480047.4224,94,33.675397,-117.918684,39882,Costa Mesa,92626,0,2,1,Level 2 and DC Fast Chargers
-147241.621200001,60913.8765999991,95,38.55252,-121.69156,39883,Davis,95618,0,1,1,Level 2 and DC Fast Chargers
170908.425999999,-450346.4684,96,33.9473,-118.151166,39884,Downey,90241,0,4,2,Level 2 and DC Fast Chargers
186655.5418,-429027.0658,97,34.136553,-117.975944,39885,Duarte,91010,0,1,0,Level 2 only
283566.9756,-575109.5259,98,32.795896,-116.976156,39886,El Cajon,92020,0,1,0,Level 2 only
182099.644099999,-436547.7517,99,34.06964,-118.02703,39887,El Monte,91731,0,2,1,Level 2 and DC Fast Chargers
-120876.583000001,43761.8739999998,100,38.40209,-121.38584,39888,Elk Grove,95757,0,4,2,Level 2 and DC Fast Chargers
270232.4406,-539993.4564,101,33.116492,-117.106837,39889,Escondido,92029,0,1,0,Level 2 only
-351410.195800001,317096.2917,102,40.8007,-124.16421,39890,Eureka,95501,0,1,0,Level 2 only
-104709.086300001,69349.1400000006,103,38.63424,-121.20423,39891,Folsom,95630,0,3,1,Level 2 and DC Fast Chargers
235543.837400001,-427981.0274,104,34.13534,-117.44573,39892,Fontana,92336,0,2,1,Level 2 and DC Fast Chargers
-174209.585899999,-55741.0774000008,105,37.49864,-121.9734,39893,Fremont,94538,0,2,1,Level 2 and DC Fast Chargers
18726.7496000007,-133122.5688,106,36.818622,-119.789796,39894,Fresno,93710,0,1,0,Level 2 only
188236.722100001,-470061.2614,107,33.766376,-117.968337,39895,Garden Grove,92844,0,2,1,Level 2 and DC Fast Chargers
156617.116700001,-457058.4549,108,33.889201,-118.307028,39896,Gardena,90247,0,1,0,Level 2 only
-138509.4937,-112192.4746,109,36.996869,-121.558573,39897,Gilroy,95020,0,1,0,Level 2 only
160909.664999999,-429473.7364,110,34.13714,-118.25515,39898,Glendale,91204,0,1,1,Level 2 and DC Fast Chargers
16453.1108999997,-397970.5097,111,34.43427,-119.820934,39899,Goleta,93117,0,3,1,Level 2 and DC Fast Chargers
-182794.8979,-37359.7123000007,112,37.662305,-122.075178,39901,Hayward,94544,0,2,1,Level 2 and DC Fast Chargers
275079.030099999,-470567.6493,113,33.741163,-117.031718,39902,Hemet,92545,0,1,0,Level 2 only
186373.7159,-476277.3585,114,33.71069,-117.989861,39903,Huntington Beach,92647,0,2,1,Level 2 and DC Fast Chargers
211287.181200001,-484380.4279,115,33.63255,-117.72335,39904,Irvine,92618,0,2,1,Level 2 and DC Fast Chargers
344522.053599998,-471916.8654,116,33.70693,-116.28364,39905,La Quinta,92253,0,2,1,Level 2 and DC Fast Chargers
159448.639400002,-440814.4292,117,34.035168,-118.273229,39906,Los Angeles,90015,0,1,1,Level 2 and DC Fast Chargers
151562.013300002,-430050.6601,118,34.133446,-118.356601,39907,Los Angeles,90068,0,2,1,Level 2 and DC Fast Chargers
-44457.306499999,-78868.6648999993,119,37.30584,-120.50229,39908,Merced,95340,0,1,0,Level 2 only
141173.1459,-415093.604,120,34.269809,-118.466606,39910,Mission Hills,91345,0,1,0,Level 2 only
-87575.2598999999,-34141.4223999996,121,37.705119,-120.99471,39911,Modesto,95356,0,1,0,Level 2 only
212716.311900001,-434440.5772,122,34.082404,-117.694876,39912,Montclair,91763,0,1,1,Level 2 and DC Fast Chargers
257318.856199998,-435139.2011,123,34.06531,-117.21201,39913,Redlands,92374,0,3,1,Level 2 and DC Fast Chargers
-198932.0195,33107.8099000007,124,38.2927,-122.27752,39914,Napa,94559,0,1,0,Level 2 only
272342.143399999,-590627.755,125,32.659001,-117.100836,39915,National City,91950,0,1,0,Level 2 only
252144.311900001,-533270.6123,126,33.181953,-117.298334,39916,Oceanside,92056,0,2,3,Level 2 and DC Fast Chargers
197698.524099998,-465215.2109,127,33.80819,-117.86507,39917,Orange,92867,0,2,1,Level 2 and DC Fast Chargers
78271.9987000003,-420541.0679,128,34.22784,-119.15031,39918,Oxnard,93036,0,1,1,Level 2 and DC Fast Chargers
170694.375100002,-378871.5536,129,34.5914,-118.1383,39919,Palmdale,93551,0,2,2,Level 2 and DC Fast Chargers
-232854.335899999,31156.8136,130,38.267202,-122.665068,39920,Petaluma,94952,0,4,1,Level 2 and DC Fast Chargers
278353.1866,-557445.1264,131,32.95678,-117.02581,39921,Poway,92064,0,1,1,Level 2 and DC Fast Chargers
-200385.814300001,286446.292300001,132,40.571632,-122.36654,39922,Redding,96002,0,1,0,Level 2 only
-203599.139799999,-971.336200000718,133,37.98521,-122.32138,39925,Richmond,94806,0,1,1,Level 2 and DC Fast Chargers
249811.423300002,-449053.8036,134,33.941878,-117.297603,39926,Riverside,92507,0,1,0,Level 2 only
238579.620700002,-451187.4993,135,33.925469,-117.419673,39927,Riverside,92504,0,2,1,Level 2 and DC Fast Chargers
-109075.876699999,82518.5715999994,136,38.752198,-121.256452,39928,Roseville,95661,0,1,1,Level 2 and DC Fast Chargers
-121429.558800001,69233.8660000004,137,38.63114,-121.39648,39929,Sacramento,95821,0,1,1,Level 2 and DC Fast Chargers
-148285.835100001,-142802.063200001,138,36.720023,-121.662519,39930,Salinas,93907,0,2,1,Level 2 and DC Fast Chargers
249358.8462,-434692.7685,139,34.07141,-117.29807,39931,San Bernardino,92408,0,1,1,Level 2 and DC Fast Chargers
267390.5616,-571479.7055,140,32.833179,-117.147384,39932,San Diego,92111,0,1,1,Level 2 and DC Fast Chargers
-166250.492699999,-80752.3041999992,141,37.275144,-121.877656,39935,San Jose,95136,0,1,2,Level 2 and DC Fast Chargers
216082.8413,-501778.0454,142,33.47462,-117.67629,39936,San Juan Capistrano,92675,0,2,1,Level 2 and DC Fast Chargers
-190353.421399999,-31590.4748999998,143,37.71267,-122.16245,39937,San Leandro,94577,0,2,1,Level 2 and DC Fast Chargers
-62238.0718999989,-307134.5759,144,35.25062,-120.68455,39938,San Luis Obispo,93405,0,4,1,Level 2 and DC Fast Chargers
-175895.8937,-75180.3276000004,145,37.32349,-121.98788,39939,Santa Clara,95051,0,1,2,Level 2 and DC Fast Chargers
-236640.296800001,48877.1151999999,146,38.42558,-122.71418,39943,Santa Rosa,95404,0,4,1,Level 2 and DC Fast Chargers
-165233.0233,-154586.2227,147,36.611189,-121.849899,39944,Seaside,93955,0,2,1,Level 2 and DC Fast Chargers
142980.115699999,-426223.6791,148,34.16924,-118.44896,39945,Sherman Oaks,91401,0,1,1,Level 2 and DC Fast Chargers
112348.363200001,-414675.4571,149,34.27735,-118.7796,39947,Simi Valley,93065,0,1,1,Level 2 and DC Fast Chargers
-111807.039500002,1401.15880000032,150,38.02221,-121.27534,39948,Stockton,95212,0,2,1,Level 2 and DC Fast Chargers
264400.545699999,-495786.5449,151,33.516768,-117.155039,39949,Temecula,92591,0,2,1,Level 2 and DC Fast Chargers
-128725.8347,-27517.0535000004,152,37.75990555,-121.4632052,39951,Tracy,95304,0,1,0,Level 2 only
204033.7993,-474312.3249,153,33.72487,-117.79896,39952,Tustin,92782,0,1,1,Level 2 and DC Fast Chargers
-169359.7476,42316.9200999998,154,38.381441,-121.941218,39953,Vacaville,95687,0,1,0,Level 2 only
-197470.142100001,13656.5642000008,155,38.118088,-122.255493,39955,Vallejo,94590,0,1,0,Level 2 only
245761.015999999,-385235.5885,156,34.517883,-117.3219,39956,Victorville,92394,0,1,0,Level 2 only
64920.7012000009,-187950.0385,157,36.32325,-119.27596,39957,Visalia,93292,0,1,1,Level 2 and DC Fast Chargers
194650.752700001,-435768.5504,158,34.074227,-117.890899,39959,West Covina,91791,0,1,1,Level 2 and DC Fast Chargers
-60065.3361000009,-303919.9033,159,35.279705,-120.6609,41526,San Luis Obispo,93401,0,2,0,Level 2 only
121299.535999998,-441355.8419,160,34.035802,-118.686393,43478,Malibu,90265,0,2,0,Level 2 only
211388.918699998,-490527.2486,161,33.577103,-117.723844,44400,Aliso Viejo,92656,0,2,0,Level 2 only
-168891.040100001,-33137.7890000008,162,37.702909,-121.91835,45313,Dublin,94568,0,1,0,Level 2 only
-70469.3819000013,40721.1151999999,163,38.379983,-120.807672,46136,Sutter Creek,95685,0,2,0,Level 2 only
-217112.125700001,-24698.9964000005,164,37.768766,-122.468341,46473,San Francisco,94118,9,4,0,Level 2 only
-167993.9356,-71040.6166999992,165,37.36217973,-121.8995386,46482,San Jose,95112,0,12,0,Level 2 only
-206519.535499999,-46190.2127999999,166,37.57792,-122.341931,46709,Burlingame,94010,0,1,0,Level 2 only
